HLC,Assembly,Machine,Registers,Flags
"mov a, 10","mov a, 10",10000A,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"mov b, 5","mov b, 5",100105,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"mov c, 2","mov c, 2",100202,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5, 'c': 2}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"add d, a, b","add d, a, b",20030001,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5, 'c': 2, 'd': 15}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"sub d, d, a","sub d, d, a",21030300,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5, 'c': 2, 'd': 5}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"sub e, b, c","sub e, b, c",21000102,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5, 'c': 2, 'd': 5, 'e': 3}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"add e, e, b","add e, e, b",20000001,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5, 'c': 2, 'd': 5, 'e': 8}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"mult f, a, c","mult f, a, c",22010002,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5, 'c': 2, 'd': 5, 'e': 8, 'f': 20}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"div f, f, a","div f, f, a",23010100,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5, 'c': 2, 'd': 5, 'e': 8, 'f': 2}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"cmp a, b","cmp a, b",300001,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5, 'c': 2, 'd': 5, 'e': 8, 'f': 2}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"mov x, 10","mov x, 10",10020A,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5, 'c': 2, 'd': 5, 'e': 8, 'f': 2, 'x': 10}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"cmp a, b","cmp a, b",300001,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 10, 'b': 5, 'c': 2, 'd': 5, 'e': 8, 'f': 2, 'x': 10}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
"sub a, a, b","sub a, a, b",21000001,"{'eax': 0, 'ebx': 0, 'ecx': 0, 'edx': 0, 'a': 5, 'b': 5, 'c': 2, 'd': 5, 'e': 8, 'f': 2, 'x': 10}","{'ZF': 0, 'SF': 0, 'OF': 0, 'CF': 0}"
